Image Name,Annotation 1 (Human - Ground Truth),Vit-Gpt2,BLIP(Conditional),BLIP (UNCONDITIONAL),GIT
174,"Canyon with river rapids, kayakers, and rock formations",people riding rafts down a river,a photography of two people kayaking in the Virgin River,two people kayaking down the river,people kayaking down a river in the canyon.
175,Foggy forest with fallen logs and mushrooms,a forest filled with lots of trees and shrubs,a photography of a fallen tree in a foggy forest,a fallen tree in the woods with fog,a fallen tree in the woods
176,a girl flying a kite in a beach,a woman running with a frisbee in a park,a photography of a little girl flying a kite,a little girl flying a kite on the beach,a little girl flying a kite on a beach.
177,"Marshland with tall grasses, a heron standing",a bird standing on top of a lush green field,a photography of a white egret in the reeds,a white bird standing in the middle of a body of water,a white bird standing in the tall grass.
178,Coral reef with colorful fish and clear water,a number of small blue and white seagulls floating on top of,a photography of a school of fish in the Great Barrier Reef,a school of fish swimming in the ocean,fish swimming in the sea
179,Beach with waves  and people walking their dogs,a dog and a man walking along a beach,a photography of a couple and their dog on the beach,a man and a dog walking on the beach,two people walking their dogs on the beach.
180,Stream with stepping stones and a small wooden bridge,a river filled with water surrounded by trees and shrubbery,a photography of a small waterfall in the woods,a small stream in the woods with moss and trees,a small waterfall in the woods.
181,Lakeside with a picnic table and  wildflowers,a small boat on a lake with trees,a photography of a woman sitting on a boat in a lake,a woman sitting on a boat in a lake,a boat on the lake
182,Desert landscape with a dry riverbed and a lone tree,a small tree is in the middle of the desert,a photography of a dead tree in the desert,a dead tree in the middle of a desert,dead tree in the desert
183,"Park with old stone statues, blooming flowers, and a fountain",a fountain in the middle of a park,a photography of a fountain with roses in the background,a fountain with flowers and a statue,a fountain in the middle of a garden.
184,Garden with blooming roses and two bench,a wooden bench sitting in the middle of a park,a photography of a bench in the garden,a couple of benches sitting on top of a gravel field,a park bench with pink flowers in the background.
185,Desert oasis with palm trees and camels resting,a herd of animals standing on top of a sandy beach,a photography of camels in the desert,camels in the desert,camels in the desert
186,Savanna with elephants near a watering hole and acacia trees,a herd of elephants standing on top of a lush green field,a photography of an elephant in the wild,a large tree in the distance,elephants at a water hole
187,"Cliff edge with wildflowers, seabirds, and the sea below",a bird flying over a body of water,a photography of a whale in the ocean,a whale swimming in the ocean near the shore,dolphins swimming in the ocean near a cliff.
188,Field of tulips with a windmill in the distance,a red and white fire hydrant in the middle of a field,a photography of a windmill and tulips in Holland,a windmill and red tulips in the foreground,windmill in a field of tulips
189,Snow-laden evergreen trees with sunlight filtering through,a tree filled with lots of leaves in the snow,a photography of a snow-covered tree in the snow,a large tree covered in snow,the sun shines through the branches of a tree.
190,Rocky canyon with a waterfall cascading into a pool,a river flowing through a forest filled with boulders,a photography of a waterfall in the Waihee Falls,a waterfall in the middle of a canyon,a waterfall flows through a canyon.
191,Mountain meadow with goats grazing and a small wooden shelter,a sheep standing on top of a lush green field,a photography of a goat in a field in the mountains,a goat in a field next to a wooden house,a farm with a wooden house and a fence.
192,Butterfly on a leaf,a brown and white bird sitting on top of a green plant,a photography of a brown butterfly on a leaf,a brown butterfly sitting on a green leaf,a butterfly on a leaf
193,Birch trees in a cluster,a forest filled with trees and bushes,a photography of a forest in the fall,birch trees in autumn,birch trees in the forest
194,Field with hay bales,a herd of cattle grazing on a dry grass covered field,a photography of a field of hay,a field of hay,a field of hay with a sky background
195,Boulders and trees by a misty mountain path,a man standing on top of a log next to a tree,a photography of a rock in the forest,a rock in the woods,a tree in the forest
196,Open field with wind turbines,a field full of tall grass with a sky background,a photography of wind turbines in a field,a field with a few wind turbines in the distance,wind turbines on a wind farm
197,a girls standing in the middle of rows of lavender in a large field ,a woman standing on top of a lush green field,a photography of a woman in a lavender field,a woman standing in a lavender field,a woman standing in a lavender field
198,Rough sea with distant cliffs and a bird flying,a large body of water with a surfboard on top of it,a photography of a seagull flying over a rough sea,a bird flying over the ocean with waves,a bird flies over the ocean
199,Sea foam on wet sand,a beach scene with the sun shining on the beach,a photography of a beach,a close-up of a beach with waves,a close-up of the water on the beach
200,Pebbles under clear water,a body of water with a bunch of birds on top of it,a photography of a sea turtle swimming in the ocean,a small fish swimming in the ocean,the surface of the sea with a wave.
201,Bridge over a bustling river in a city,a bridge over a city with tall buildings,a photography of a bridge over a river,a bridge over a river with a train going over it,a view of the bridge from the top.
202,Traffic jam on an urban highway,a street filled with lots of cars and motorcycles,a photography of traffic on a busy street,a large group of vehicles,a city street filled with traffic.
203,Tram moving through narrow European streets,a train on a train track at night,a photography of a trolley car on a street,a trolley car is parked on a street,a tram in the night
204,Nighttime city skyline with illuminated skyscrapers,a city at night with skyscrapers and traffic lights,a photography of Toronto at night,a city at night with a view of the CN Tower,a city at night with the lights on
205,Busy street market with stalls and vendors,a street scene with a sign for a street vendor,a photography of a street market in Hong Kong,a street scene with a sign that says 'no one',a street scene with people walking and a sign
206,Pedestrians crossing a busy four way intersection,an overhead view of an airport with several rows of tables,a photography of a crosswalk in a city,a crosswalk in a city at night,a city is a busy intersection with many people.
207,Colorful houses along a canal in the city with boats,boats are docked in a harbor,a photography of a harbor with many boats,a row of colorful buildings along a river,a city is a town that has many colorful buildings.
208,Aerial view of city with geometric patterns,a brick wall with a bunch of pictures on it,a photography of a city in Mexico,an aerial view of a city in Colombia,aerial view of the city.
209,Rooftop view over a crowded urban area,a cityscape of a city with tall buildings,a photography of the city of Bogota Colombia,"the city of Sarajevo, with the mountains in the background",a view of the city
210,People dining at sidewalk cafes along the street at night,a city street filled with lots of parked bicycles,a photography of a street scene at night,a group of people sitting at tables on a sidewalk,a street in the old town
211,Old cobblestone street with historic architecture,a city street filled with lots of traffic,a photography of a street in the old town of Girona,a wet street in the city,a rainy street in the city
212,Subway station with commuters boarding trains,a train is stopped at a train station,a photography of people on a subway platform,a group of people are walking on a subway platform,a black and white photo of people on a subway train.
213,narrow alley with shops and people,a street filled with lots of shops and people,a photography of a narrow alley in the old city of Jerusalem,a narrow alley in the old city of Jerusalem,a city is a small market located in the city center.
214,Bustling Chinatown street with lanterns,a city street filled with lots of traffic,a photography of a street in a city,a street with a lot of people walking down it,a street view of the district.
215,Urban waterfront with boats and piers,a harbor filled with lots of boats on the water,a photography of a marina with boats docked in the harbor,a harbor with boats docked in it,a city is a small town.
216,A man walking six dogs in an urban neighborhood,a man walking a dog on a leash on a city street,a photography of a woman walking her dogs,a woman walking two dogs down a street,a person walking dogs on a street with a dog.
217,Street musicians performing for passersby,a man standing next to a man on a skateboard,a photography of a man playing guitar on the street,two men playing guitar on the street,street musicians on the streets
218,Elevated train passing through city buildings,a train traveling down tracks next to tall buildings,a photography of a train on the tracks,a train on the tracks,a train on a track in a city
219,Cityscape with mountains in the background,a city with tall buildings and a clock tower,a photography of the city of Bern Switzerland,"the city of Bern, Switzerland",a city is the capital city.
220,Street lined with palm trees in a coastal city,a beach with palm trees and palm trees,a photography of a palm tree-lined sidewalk,a row of palm trees,palm trees line the street
221,City lights reflecting on a river at night,a city at night with tall buildings,a photography of the Toronto skyline at night,the city skyline of Toronto at night,the skyline is reflected in the water.
222,Neon signs illuminating the streets at night,a night scene with neon lights and neon signs,a photography of a street in Hong Kong at night,a street filled with neon signs,a city street at night with neon signs
223,People boarding double-decker buses,a double decker bus driving down a city street,a photography of a busy street with a bus and a bus stop,a red double-decker bus,a group of people standing on a street corner.
224,graffiti under a highway overpass,a building with a clock on the side of it,a photography of a street scene with a street sign,a street with a street sign,a mural on the side of a road.
225,Street artists painting murals,a mural of a fire hydrant on the side of a road,a photography of a man painting a mural on a wall in the city of Lisbon,a man painting a mural on the side of a building,a man painting a mural on a building
226,Glass-covered shopping mall interior,a large building with a lot of windows,a photography of a mall with a large bird suspended from the ceiling,a large glass ceiling,a shopping mall with birds flying overhead
227,Rooftop restaurant overlooking city,a dining room filled with tables and umbrellas,a photography of a rooftop bar with a view of the city,a restaurant with a view of the city at night,"a city at night, with a view of the city"
228,Street tunnel illuminated by gas lamps,a dark alleyway with a clock on the wall,a photography of a street at night,a street with a stone wall and a street light,"a city at night, with lights on."
229,skate park with skaters and a boy doing a jump,a man riding a skateboard at a skate park,a photography of a skate park with palm trees,a man riding a skateboard on a ramp,a man riding a skateboard on a ramp.
230,Urban garden nestled between buildings,a large garden with a clock on the side of it,a photography of the gardens of the Alcázar Palace in Granada Spain,the gardens at the castle of the duchess in Heidelberg,a city is a city and municipality.
231,wind turbine farm,a row of parked cars on a dirt road,a photography of wind turbines on a hill,a hill,wind turbines on a hill
232,Escalators inside a multi-story mall,a large building with a clock on the ceiling,a photography of a modern building,a large white staircase,the interior of the shopping mall
233,Observation deck having a sophisticated telescope with city panorama,a large photo of a city with a large clock on it,a photography of coin-operated binoculars overlooking the Empire State Building,a coin on top of a building with a view of the city,the view from the top of the building
234,Open-air amphitheater,a person riding a skateboard on top of a snow covered ground,a photography of a man sitting on a stage,a man standing on top of a large stone structure,a man walking up the stairs of a stadium
235,Bus terminal with departing buses,a city street filled with lots of traffic,a photography of a parking lot with buses,a parking lot filled with lots of white buses,a bus station with buses parked in the foreground.
236,Beach with city skyline,a beach with a large body of water,a photography of surfers on the beach in Surfers Paradise,a view of the beach and buildings in Surfers Paradise,a city is the most beautiful city in the world.
237,Elevated walkway connecting buildings,a tall building with a clock on it,a photography of a city,a black and white photo of buildings in the city,the sky in the mirror
238,Grand atrium in train station,a large building with a large number of people in it,a photography of a busy Grand Central Station,a large building with a lot of people inside,a city is a city.
239,Alleyway with fire escape ladders,a large building with a clock on the side of it,a photography of a narrow street in the city of London,a narrow alley in the city of New York,a narrow street with a few buildings
240,Water taxi on river in city,a small boat traveling through the water,a photography of a water taxi boat in the water,a boat with a yellow taxi sign on it,a ferry boat with a man on it.
241,Ferris wheel in amusement park,a large clock tower in the middle of a city,a photography of a Ferris wheel at night,a ferris wheel in a city at night,a ferris wheel at night
242,Stadium hosting sports event,a crowd of people watching a professional baseball game,a photography of the opening ceremony of the FIFA World Cup at the Maracanã Stadium,a soccer stadium with a large crowd watching,a general view of the stadium during the match.
243,Public library reading room,a large room filled with lots of tables and chairs,a photography of a library with a round window,a large circular ceiling,the interior of the building.
244,Bicycle path along river and mountains,a person walking on a path near a lake,a photography of a person riding a bike along a river,a person riding a bike on a trail next to a lake,a woman rides her bicycle along a trail.
245,Flea market with shoppers,a crowd of people standing around a food stand,a photography of a market with people shopping,a group of people standing around a market,a city is a market.
246,Swimming pool with swimmers,a person in a pool jumping in the water,a photography of swimmers competing in a swimming race,swimmers in the pool,swimmers compete in the 100-meter backstroke race.
247,Bicycle-parking station in city,bicycles are lined up in a row,a photography of a row of red bikes,a row of red bikes,bicycles parked on the street
248,Car wash in operation,a car that is in the middle of a street,a photography of a white Mustang car,a white car is driving through a tunnel,automobile model in the rain
249,Fire station with fire trucks,a row of red fire trucks parked in front of a building,a photography of a fire station with fire trucks,a fire station with fire trucks parked in front,fire trucks parked in front of a building
250,Playground with children ,a woman sitting on top of a wooden pole,a photography of a group of people standing in a circle,a group of people standing in a circle,people hanging out on a playground
251,Funeral procession on city street,a crowd of people walking down a street,a photography of a crowd of people walking down a street,a crowd of people walking down a street,a crowd of people gather in a street.
252,Farmers market with stalls and people,a large crowd of people standing in a market,a photography of a crowded room with people,a crowded room with people,a view of the shop
253,Cemetery with visitors,a large group of people standing around a table,a photography of a man standing in a cemetery,a man standing in a cemetery with a tower in the background,a man walks past a row of flowers on a table in front of a tower.
254,Recycling bins on city street,a pile of trash sitting on the side of a street,a photography of a garbage truck with a pile of junk,a pile of trash on the sidewalk,a garbage can full of trash on a city street.
255,Concert hall with chandelier,a large auditorium filled with people watching a performance,a photography of a concert hall with a stage and a large screen,a large auditorium with a stage and a large screen,the auditorium of the auditorium
256,billboard advertisement of coco cola on a Rooftop building ,a large building with a sign on top of it,a photography of a building in the city of Johannesburg South Africa,a tall building with a Coca-Cola sign on top,a building with a Coca-Cola sign on it
257,store window display,a shelf filled with lots of different types of items,a photography of a window display of vintage items,a window display with various items in it,a window display of vintage items.
258,Street with protest march,a large crowd of people walking down a street,a photography of a group of people marching down a street holding signs,a group of people walking down a street holding signs,students march down a city.
259,Gas station in the evening,a parking lot filled with lots of parking meters,a photography of a gas station at sunset,a gas station at sunset,"gas station at dusk, with a pink sky in the background."
260,Underground parking lot,a parking lot with a lot of cars parked in it,a photography of a parking area with a car parked,a parking lot with a car parked in it,the interior of a parking garage
261,Fire hydrant on city street,a red fire hydrant sitting on the side of a road,a photography of a fire hydrant on a city street,a red fire hydrant with a chain around it,a red fire hydrant on a city street
262,Traffic officer directing cars,a police officer on a city street with a car,a photography of a police officer directing traffic,a police officer directing traffic,a police officer directing traffic.
263,Street with manhole cover ,a stone wall with a circle of stones around it,a photography of a manhole on the cobblestones,a manhole with a shield on it,a manhole cover in the city
264,Phone booths on sidewalk,a sign that is on the side of a building,a photography of a phone booth on a sidewalk,a phone booth with graffiti on it,a phone booth with graffiti on it on a street.
265,Construction site with workers,a man standing on top of an escalator next to a building,a photography of a construction worker walking under a bridge,a man walking across a bridge over water,a couple walking across a bridge
266,Street with people carrying umbrellas,people walking down a street with umbrellas,a photography of people walking in the rain,a group of people walking down a street holding umbrellas,a group of people walking down a street holding umbrellas.
267,A very big Water fountain ,a person standing in front of a fire hydrant spraying water,a photography of a man standing in front of a fountain in the city of Riga,a person standing in front of a fountain,a fountain in the middle of a city.
268,Pedestrian tunnel under a train overhead,people crossing a bridge over a river,a photography of a train passing under a bridge,a train is coming under a bridge on a rainy day,people walking under a bridge on a rainy day.
269,City railway crossing with gates,a railroad crossing with a train on the tracks,a photography of a street corner with a stop sign,a street with a stop sign and a train crossing,a train crossing with a blue sky
270,river with kayakers and bridge in background,two people are paddling a boat in the water,a photography of a man paddling in a kayak,a man in a kayak paddling on a lake,a family paddles a canoe along river.
271,City street during marathon race,a crowd of people walking down a street,a photography of a man running in a race,a group of people are walking down the street,"runners in a race, with their arms raised"
272,People waiting at a bus stand,a man standing on a sidewalk next to a bus,a photography of a bus stop in the middle of a street,a group of people standing on the sidewalk,a woman is waiting for her bus at a bus stop.
273,beach volleyball game silhouette with sun in background,people standing on top of a beach,a photography of a group of people playing volleyball,a group of people playing volleyball on the beach,a volleyball game is played on the beach.
274,Urban skate plaza with skaters,a man on a skateboard taking a picture of himself,a photography of a skateboarder at a skate park,a man sitting on a skateboard,a man sitting on a skateboard at a skate park.
275,community bulletin board,a wall with a bunch of stickers on it,a photography of a wall covered with posters,a wall covered with posters,a poster on a wall
276,bridge with cyclists and motorbike crossing,a person riding a bike down a street,a photography of a person on a motorcycle on a bridge,a person riding a bike on a bridge,a man rides his bike down a bridge in the rain.
277,Street vendors selling flowers in bicycle,a woman walking down a street with a bunch of flowers,a photography of two women pushing a bicycle with baskets of flowers,two people with baskets of flowers on their bikes,two women pushing a bicycle with flowers on it.
278,Street lined with litchi fruit carts,a man is selling fruit at a market,a photography of a street market with a lot of fruit,a man pushing a cart of fruit down a street,a street vendor selling fruit
279,A Person riding escalators in subway station,a person walking down a walkway with an umbrella,a photography of a man walking down an escalator,a man is walking down an escalator,a man walking up an escalator in a building.
280,ferry terminal with commuters in queue and ferry in background,a large group of people standing on top of a dock,a photography of the ferry at the port of Auckland,a large boat is docked at the dock,a group of people standing on a dock next to a boat.
281,Street performers juggling,a man throwing a frisbee at a crowd of people,a photography of a man juggling in a crowd,a man juggles a ball while a crowd watches,a man is playing with an orange ball.
282,Pedestrian street with musicians,people walking down a sidewalk in front of a store,a photography of a man walking past a restaurant,a couple of people walking in front of a restaurant,people looking at a window at a shop
283,Street with bicycle lane and cyclists,a woman and a man riding a bike down a street,a photography of a woman riding a bike,a woman riding a bike down a street,a woman riding a bike down a street.
284,People waiting in line to get food,a man standing in front of a food stand,a photography of a man walking through a busy street in a small city,people walking through a busy street market,the neon lights of the night market
285,Marina with boats docked along the urban shoreline,a large body of water with mountains,a photography of a small town on a lake,a small island in the middle of a lake,a city is a small town on the coast.
286,Street with newspaper kiosks,a man standing in front of a graffiti covered wall,a photography of a man walking past a store,a man walking past a store with a large display of magazines,a city is a city.
287,skyline reflected in the calm waters of a lake,a city at night with tall buildings,a photography of the skyline of downtown Chicago,"the skyline of Dubai, with the reflection of the buildings in the water",reflection of the city in the water
288,ice rink with skaters,a man and a woman on a skateboard in a building,a photography of two skaters in a skating rink,two people skating on an ice rink,ice skating in the new program
289,observatory on building roof,a large building with a clock on top of it,a photography of a building with a clock on top,a clock on a building with a sky background,a building with a dome on top of it.
290,Vendors selling goods at an open-air market,a crowd of people walking down a street with umbrellas,a photography of a market with people shopping,a group of people standing around a market,a market in the old city
291,Overhead view of a roundabout with moving vehicles,a city street filled with lots of traffic,a photography of a roundabout intersection,a roundabout intersection with a red stop sign,aerial view of the circular roundabout
292,Taxi stand with cabs waiting for passengers,a car parked in a parking lot next to a tall building,a photography of a parking area with cars parked in it,a row of parked cars,a row of taxis parked in a parking lot.
293,People dining along the waterfront with palm trees and hills in the background,a large body of water with palm trees,a photography of a beach with palm trees and a blue sky,a beach with palm trees and people sitting at tables,palm trees line the beach
294,Nighttime city skyline with lit-up bridges,a city at night filled with lots of lights,a photography of a city at night,a bridge over a river,a city at night with the lights on.
295,Aerial view of grid-patterned city streets,a large group of people standing on top of a lush green field,a photography of the city of Sarajevo Bosnia,"aerial view of the city of Cesky Krumlov, Czech Republic",a city is the capital city.
296,basketball court with players,young girls playing a game of frisbee,a photography of a basketball game,a group of girls playing a game of basketball,the women's basketball team played a game of basketball.
297,A crowded train,people are waiting for the train to arrive,a photography of people on a subway train,people on a subway train,passengers on the subway train
298,canal with boats and waterside cafes,boats are docked in the water,a photography of a canal in Amsterdam,a canal with boats and buildings in the background,a boat is docked on a canal next to a tree.
299,Empty railway track near a residential area,a black and white photo of a train on tracks,a photography of a train track in the city,a train track with a train in the middle,train tracks in the city
300,colorful Holi festival taking place on streets,a crowd of people standing around a fire hydrant,a photography of people celebrating Holi festival,people celebrating Holi festival,a festival of colors and colors
301,Woman arranging flowers,a woman holding a bouquet of flowers in her hand,a photography of a woman arranging flowers in a park,a woman is placing flowers in a vase,a woman in a white shirt is holding a bouquet of flowers.
302,People walking in park,two women walking down a sidewalk near a tree,a photography of two elderly people walking in a park,two people walking down a path under a tree,a group of people walking under a tree filled with pink flowers.
303,Chef cooking in a kitchen with staff preparing ingredients,two men in a kitchen preparing food,a photography of two chefs preparing food in a kitchen,two men in aprons preparing food in a kitchen,two men in aprons preparing food in a kitchen.
304,Woman reading a book in a café with a cup of coffee and pastries on the table,a woman sitting at a table with a plate of food,a photography of a woman reading a book,a woman sitting at a table with a book and a cup,a woman reading a book while sitting at a table
305,Monks meditating in temple,a row of men sitting on top of a building,a photography of Buddhist monks in Angkor Wat temple Cambodia,a group of monks sitting on a stone wall,monks in orange robes sitting on a wall
306,A Man and a woman painting a wall in the house,a man and a woman are painting a wall,a photography of a couple painting a wall,two people painting a wall with blue tape,how to paint a room in a home
307,Students studying together in a library surrounded by bookshelves,people sitting at a table with books,a photography of two students studying in the library,three students studying in a library,group of students studying in a library
308,Workers installing solar panels,two men standing next to each other on top of a building,a photography of workers installing solar panels on a roof,workers installing solar panels on the roof of a building,construction workers on the roof of a building
309,Man washing car,a man on a street with a fire hydrant,a photography of a man washing a car in a street,a man washing his car in the street,a man painting a truck on a street.
310,Fisherman casting a net from a boat at sunrise on a lake,a man flying through the air while holding an umbrella,a photography of a fisherman casting a net at sunset,a fisherman casts his net at sunset on the Mekong River in Vietnam,a fisherman throws a net at sunset.
311,A dog playing fetch,a black dog running through a grassy field,a photography of a dog carrying a stick in its mouth,a dog running through a field with a stick in its mouth,a black dog with a stick in its mouth
312,"Man repairing a type in a street, surrounded by tools and spare parts",a man working on a pizza in front of a fire hydrant,a photography of a man working on a tire,a man working on a tire in the streets of Nairobi,a worker works on a tire in a village
313,Audience giving a standing ovation after a performance in a theater,a crowd of people watching a professional baseball game,a photography of a group of people dancing in a dance hall,a group of people standing on a stage,a crowd of people dancing
314,Tourists on a sightseeing bus touring a city’s landmarks,a man and a woman are looking at a camera,a photography of a couple taking a picture of themselves,a woman taking a picture of a man on a bus,a couple of people taking a picture on a bus.
315,Woman riding a horse through a meadow with mountains in the background,a person riding a sheep on top of a lush green hillside,a photography of a woman riding a horse,a woman riding a horse on a hill,a woman sitting on a horse in the mountains.
316,Firefighters extinguishing a fire at a building with hoses and ladders,a fireman is spraying water from a fire hydrant,a photography of a fire at a home,firefighters battle a fire at a home,firefighters spray water on a fire in a residential building.
317,People dancing in a nightclub illuminated by lights,a blurry photo of people standing in a dark room,a photography of a group of people dancing at a party,people dancing in a dark room with green lights,the dance floor at the club
318,Children blowing bubbles in a park as sunlight creates reflections,two girls brushing their teeth in a park,a photography of two little girls brushing their teeth,two little girls brushing their teeth,girls blowing soap bubbles at a playground
319,Kids building a sandcastle at the beach using buckets and shovels,a man flying a kite on top of a sandy beach,a photography of two children playing on the beach,two children playing on the beach,kids playing on the beach
320,Man shaving in front of a bathroom mirror,a man brushing his teeth in a bathroom,a photography of a man shaving his beard in a bathroom,a man in a sweater is shaving his face in front of a mirror,man shaving his face in the bathroom
321,Friends playing a video game in a living room with a large screen,people sitting around a living room playing video games,a photography of two boys sitting on a couch watching a movie,two boys sitting on the floor watching TV,a group of young people sitting on a floor watching TV.
322,Congregation praying in a church during a service with stained glass windows illuminating,a kitchen filled with lots of tables and chairs,a photography of a church in the city of Kashan Iran,a group of people sitting in pews,a couple in a church
323,Child learning to ride a bike with a parent,a man and a little girl riding on a bike,a photography of a father teaching his daughter how to ride a bike,father teaching his daughter to ride a bicycle,a man and a little girl riding a bicycle.
324,"Drivers stuck in a traffic jam on a highway, cars stretching into the distance",a city street filled with lots of traffic,a photography of a busy highway with cars and trucks,a highway with many cars on it,aerial view of a highway with cars on the road
325,"Workers paving a road, operating machinery",a man working on a pipe in the middle of a construction site,a photography of two men working on a construction site,two men working on a construction site,workers pour concrete into the concrete.
326,Two kids wearing a kitchen apron and kitchen cap in the kitchen,a little girl standing next to a woman in a kitchen,a photography of a little girl and her mother in the kitchen,a young girl in a yellow apron and a little boy in a blue apron,a little girl standing in front of a sink and a woman in a kitchen.
327,Man grilling food at a backyard barbecue,a man standing next to a table holding a hot dog,a photography of a man grilling a BBQ,a man grilling on a grill in the backyard,a man in a sweater and jeans is looking at a camera.
328,"Friends sharing a meal at a dining table, clinking glasses in a toast",people sitting at a table with plates of food,a photography of a group of people enjoying a meal,a group of people sitting at a table with wine glasses,a group of friends having a meal together.
329,People learning dance moves in a dance class with mirrors reflecting their progress,people playing a game on the nintendo wii,a photography of a group of dancers in a dance studio,a group of people in a dance class,a group of people dancing in a room
330,Children blowing out candles on a birthday cake surrounded by family and friends,a little girl and a little boy standing next to each other,a photography of a family celebrating a birthday,a family celebrating a first birthday with balloons and cones,a birthday party with a birthday girl and her friends
331,Woman sewing a dress on a sewing machine,a woman sitting at a table in a kitchen,a photography of a woman working at a sewing studio,a woman sitting at a desk with a sewing machine,a woman sitting at a desk in a white office.
332,Family decorating their Christmas tree for the holidays with lights and ornaments,a man holding a baby in front of a christmas tree,a photography of a family decorating a Christmas tree,a man and a little girl decorating a Christmas tree,Christmas tree in the living room
333,Children gathering around a teacher reading a book,young children playing a game of frisbee,a photography of a young girl reading a book to her younger sister,a group of children sitting on the floor reading books,a group of people sitting on the floor reading a book.
334,Group of friends taking a selfie in front of a monument ,people sitting on a bench with a laptop,a photography of three women sitting on a wall with a statue in the background,a group of people sitting on a bench with laptops,a group of people sitting on a bench with laptops.
335,Woman reading a bedtime story to a child,a girl reading a book to a little girl on a bed,a photography of a little girl reading a book,a little girl reading a book on her bed,a child reading a book to her mother
336,Woman carrying pizza box up the stairs,a person laying on the ground with an open suitcase,a photography of a woman reading a newspaper,a woman reading a newspaper on the stairs,a woman sitting on a staircase holding a box of pizza.
337,Farmer plowing field with tractor,a red and white truck driving down a dirt road,a photography of a man in a tractor,a man is driving a tractor in a field,a farmer drives his tractor.
338,Volunteers planting trees in a deforested area,a woman standing on top of a sandy beach,a photography of a woman planting a tree,a woman kneeling down to plant a tree,a woman planting a tree in the field
339,Workers picking tea leaves in plantations,people with umbrellas in a field,a photography of tea farmers in Sri Lanka,tea picking in Sri Lanka,women picking tea in a tea plantation
340,Workers repairing a railway track,three men are sitting on a train platform,a photography of a group of men working on a train track,a group of men working on a train track,workers on a railway line
341,Group of people surfing at a beach,a man riding a wave on top of a surfboard,a photography of a surfer riding a wave,a surfer is riding a wave in the ocean,a surfer rides a wave in the ocean.
342,Group of people snorkeling near a reef,a body of water filled with lots of birds,a photography of people snorkeling in the Great Barrier Reef,people snorkeling in the ocean,aerial view of a group of people swimming in the ocean
343,Workers mining in a quarry,a man standing in front of a wall next to a tunnel,a photography of a construction site with a man in a hard hat,a group of construction workers working on a building,construction workers working on a construction site
344,Man playing drums in a music studio,a man sitting in front of a drum machine,a photography of a drummer playing the drums,a man playing drums in a recording room,drummer playing the drums in a recording studio
345,Two People practicing fencing in a gym,a pair of men playing a game of tennis,a photography of two fencing fencers in a gym,two men in fencing gear practicing their moves,workers perform drills in a gym.
346,People attending a pottery workshop,three people in a kitchen preparing food,a photography of a group of people in a kitchen,a group of people in a kitchen preparing food,a group of people in a kitchen preparing food.
347,Man sculpting clay in an art studio,a man is painting a pot on a table,a photography of a man making a pottery pot,a man is making a pottery pot,a man making a clay pot in a workshop
348,People playing poker at a table with drinks and snacks,people sitting around a table,a photography of a group of people sitting around a table,a group of people sitting around a table,people sitting at a table playing cards and playing cards
349,Group of kids practicing martial arts in a dojo,a woman standing in front of a wall with a group of men,a photography of two people practicing karate in a white room,two people in karate gear practicing karate,"Person, a photographer, and person"
350,Children learning robotics in a classroom,a man and a woman working on a project together,a photography of two boys working on a robot,two children playing with a robot,students playing with a robot
351,Man repairing a watch in a workshop,a man sitting at a desk working on a computer,a photography of a man working in his home office,a man sitting at a desk with a computer,a woman working at a desk in a room.
352,Children learning sign language in a class,young people playing a video game,a photography of five children sitting on a couch,a group of children sitting on a couch,a group of children sitting in a room.
353,Group doing community service cleaning a beach,two people walking on the beach with their luggage,a photography of a group of people picking trash on the beach,a group of people standing on a beach,people putting plastic bags on the beach
354,A group of people exploring a cave ,people walking around a sandy beach,a photography of people walking in a cave,people walking through a cave in the woods,a small waterfall in a cave
355,Athletes training on a track field,a number of people on a grassy area with a fence,a photography of a cross-country race,a man running in a race,"Person, a runner, leads the pack."
356,Women volunteering at an animal shelter feeding dogs,a woman is tending to a flock of sheep,a photography of a dog and a man feeding a dog,a woman feeding a dog,a woman feeding her dogs in a petting zoo
357,A man sitting by a water body feeding birds,a person sitting on a bench next to a pond,a photography of a man feeding pigeons in a park,a man sitting on the grass next to a pond,a man feeding pigeons by the water
358,Volunteers help in construction in a neighborhood project,men standing around a dirt road,a photography of a group of people working in a construction site,a group of people working on a construction site,a group of people working on a construction site.
359,Climbers traversing a high-altitude mountain pass,a person walking down a snow covered slope,a photography of a person walking in the snow,a person walking down a snowy path in the mountains,a man hiking through a snow-covered valley.
360,An old woman carrying two full bags of recycled empty plastic bottles,a woman is walking down the street with a bike,a photography of a woman walking down a street,a woman walking down a street with a bicycle,a woman walking down the street with shopping bags
361,People attending a lecture in a hall,a crowd of people standing around a room,a photography of a man giving a presentation to a group of people,a man giving a presentation to a group of people,Person speaking to a crowd
362,Artists sketching live models in a studio class,a man standing next to a woman in a room,a photography of a woman working in a studio,a woman standing in a room with a large window,Person working on a painting
363,A group of Athletes in two long boat compete in rowing,a number of people on a row boat in the water,a photography of a group of people rowing in a lake,a group of people rowing on a lake,a team of rowers competing in a race.
364,People ice skating on a frozen pond,people walking on a beach,a photography of people playing on the frozen lake,a group of people playing on the ice,a black and white photo of people on a frozen lake.
